id,projectId,applicationId,roundId,token,voter,grantAddress,amount,amountUSD,coefficient,last_score_timestamp,rawScore,threshold,balance_tec,tec_tokens_flag,balance_tea,tea_flag
0x16064fcb,0x8d6f0c7b,3,0x9E669c0A,0x6B175474,0x839395e2,0x808DB7C1,1e+19,9.9839938,1.5,2023-04-26 15:55:53.752619+00:00,52.94,15,73838.66148707856,1.0,,
0xf48511f9,0x64a30a4b,19,0x9E669c0A,0x6B175474,0x839395e2,0xA26d6AEB,5e+19,49.919969,1.5,2023-04-26 15:55:53.752619+00:00,52.94,15,73838.66148707856,1.0,,
0x62e70d98,0xe6424ab2,22,0x9E669c0A,0x6B175474,0x7d547666,0x8110d1D0,4e+18,4.007487,1.5,2023-05-05 21:22:04.075969+00:00,47.84,15,18134.42536542244,1.0,,
0x3d59dd5f,0xe8249a10,14,0x9E669c0A,0x6B175474,0x7d547666,0x9b55D80A,2e+18,2.0037435,1.5,2023-05-05 21:22:04.075969+00:00,47.84,15,18134.42536542244,1.0,,
0x0377e77b,0xa9bdf738,29,0x9E669c0A,0x6B175474,0x7d547666,0x5041A1C1,2e+18,2.0037435,1.5,2023-05-05 21:22:04.075969+00:00,47.84,15,18134.42536542244,1.0,,
0x5a1ab666,0x64a30a4b,19,0x9E669c0A,0x6B175474,0x7d547666,0xA26d6AEB,2e+18,2.0037435,1.5,2023-05-05 21:22:04.075969+00:00,47.84,15,18134.42536542244,1.0,,
0xd62903f8,0x8d6f0c7b,3,0x9E669c0A,0x6B175474,0x7d547666,0x808DB7C1,2e+18,2.0037435,1.5,2023-05-05 21:22:04.075969+00:00,47.84,15,18134.42536542244,1.0,,
0x1c48df9d,0x72b0d6a6,17,0x9E669c0A,0x6B175474,0x7d547666,0x7e1F8358,2e+18,2.0037435,1.5,2023-05-05 21:22:04.075969+00:00,47.84,15,18134.42536542244,1.0,,
0x094b2f2a,0xec026845,16,0x9E669c0A,0x6B175474,0x7d547666,0x45b79C6b,2e+18,2.0037435,1.5,2023-05-05 21:22:04.075969+00:00,47.84,15,18134.42536542244,1.0,,
0x158264ae,0x97589cd1,7,0x9E669c0A,0x6B175474,0x7d547666,0x0035cC37,4e+18,4.007487,1.5,2023-05-05 21:22:04.075969+00:00,47.84,15,18134.42536542244,1.0,,
0x259f62a8,0xdd9b885d,13,0x9E669c0A,0x6B175474,0x434f5325,0x75D923fB,4.2e+20,419.7123782,1.5,2023-05-03 23:55:07.361025+00:00,23.56,15,,,2.0,1.0
0x24e98708,0xdd9b885d,13,0x9E669c0A,0x6B175474,0x468fd68b,0x75D923fB,1e+18,1.00118087,1.0,2023-04-25 00:38:00.402327+00:00,26.79,15,,,,
0xd56698d4,0xe8249a10,14,0x9E669c0A,0x6B175474,0x468fd68b,0x9b55D80A,1e+18,1.00118087,1.0,2023-04-25 00:38:00.402327+00:00,26.79,15,,,,
0x503faa8d,0xc401c980,6,0x9E669c0A,0x6B175474,0x468fd68b,0x9390fA86,1e+18,1.00118087,1.0,2023-04-25 00:38:00.402327+00:00,26.79,15,,,,
0x44892de0,0xa9bdf738,29,0x9E669c0A,0x6B175474,0x468fd68b,0x5041A1C1,1e+18,1.00118087,1.0,2023-04-25 00:38:00.402327+00:00,26.79,15,,,,
0xc596710c,0x5351510d,2,0x9E669c0A,0x6B175474,0x468fd68b,0x9bcF35BD,1e+18,1.00118087,1.0,2023-04-25 00:38:00.402327+00:00,26.79,15,,,,
0x4cfce6d0,0x97589cd1,7,0x9E669c0A,0x6B175474,0x468fd68b,0x0035cC37,1e+18,1.00118087,1.0,2023-04-25 00:38:00.402327+00:00,26.79,15,,,,
0xd9450f5c,0xe6424ab2,22,0x9E669c0A,0x6B175474,0x468fd68b,0x8110d1D0,1e+18,1.00118087,1.0,2023-04-25 00:38:00.402327+00:00,26.79,15,,,,
0x08b94c09,0xf1f4942d,24,0x9E669c0A,0x6B175474,0x468fd68b,0x4f8c531d,1e+18,1.00118087,1.0,2023-04-25 00:38:00.402327+00:00,26.79,15,,,,
0xefe2c35c,0x10b3f00e,28,0x9E669c0A,0x6B175474,0x468fd68b,0x69e001B7,1e+18,1.00118087,1.0,2023-04-25 00:38:00.402327+00:00,26.79,15,,,,
0xd5de2972,0x23387567,9,0x9E669c0A,0x6B175474,0x468fd68b,0xbbD107D7,1e+18,1.00118087,1.0,2023-04-25 00:38:00.402327+00:00,26.79,15,,,,
0x5b0cbbd8,0x8d6f0c7b,3,0x9E669c0A,0x6B175474,0x468fd68b,0x808DB7C1,1e+18,1.00118087,1.0,2023-04-25 00:38:00.402327+00:00,26.79,15,,,,
0x977d67d0,0x64a30a4b,19,0x9E669c0A,0x6B175474,0x468fd68b,0xA26d6AEB,1e+18,1.00118087,1.0,2023-04-25 00:38:00.402327+00:00,26.79,15,,,,
0xe2855d59,0x72b0d6a6,17,0x9E669c0A,0x6B175474,0x468fd68b,0x7e1F8358,1e+18,1.00118087,1.0,2023-04-25 00:38:00.402327+00:00,26.79,15,,,,
0x501cfaee,0xec026845,16,0x9E669c0A,0x6B175474,0x468fd68b,0x45b79C6b,1e+18,1.00118087,1.0,2023-04-25 00:38:00.402327+00:00,26.79,15,,,,
0x5e2ea309,0x4cd41869,25,0x9E669c0A,0x6B175474,0x468fd68b,0xBEC643BD,1e+18,1.00118087,1.0,2023-04-25 00:38:00.402327+00:00,26.79,15,,,,
0xc761698e,0xcf3165f4,10,0x9E669c0A,0x6B175474,0x468fd68b,0x7f3eb18E,1e+18,1.00118087,1.0,2023-04-25 00:38:00.402327+00:00,26.79,15,,,,
0x3318a9b6,0xdd9b885d,13,0x9E669c0A,0x6B175474,0xe594469f,0x75D923fB,4.21e+20,419.7298676,1.0,2023-04-28 21:06:35.174634+00:00,37.12,15,,,,
0xdde554cf,0xe6424ab2,22,0x9E669c0A,0x6B175474,0xb760fe1b,0x8110d1D0,5e+18,5.0010874,1.5,2023-05-07 09:30:50.374250+00:00,17.31,15,10563.361346989184,1.0,,
0xebf78dfa,0x97589cd1,7,0x9E669c0A,0x6B175474,0xb760fe1b,0x0035cC37,1e+18,1.00021748,1.5,2023-05-07 09:30:50.374250+00:00,17.31,15,10563.361346989184,1.0,,
0x082e64e7,0xa9bdf738,29,0x9E669c0A,0x6B175474,0xb760fe1b,0x5041A1C1,1e+18,1.00021748,1.5,2023-05-07 09:30:50.374250+00:00,17.31,15,10563.361346989184,1.0,,
0x07f758fb,0xe8249a10,14,0x9E669c0A,0x6B175474,0xb760fe1b,0x9b55D80A,1e+18,1.00021748,1.5,2023-05-07 09:30:50.374250+00:00,17.31,15,10563.361346989184,1.0,,
0x9cb60729,0x72b0d6a6,17,0x9E669c0A,0x6B175474,0xb760fe1b,0x7e1F8358,1e+18,1.00021748,1.5,2023-05-07 09:30:50.374250+00:00,17.31,15,10563.361346989184,1.0,,
0xb316dadc,0x8d6f0c7b,3,0x9E669c0A,0x6B175474,0xb2d60143,0x808DB7C1,1e+19,9.9877445,1.5,2023-05-07 13:49:28.328134+00:00,33.26,15,5283.368339220287,1.0,3.0,1.0
0x2bb0ecf4,0xe6424ab2,22,0x9E669c0A,0x6B175474,0xb2d60143,0x8110d1D0,2.5e+19,24.96936125,1.5,2023-05-07 13:49:28.328134+00:00,33.26,15,5283.368339220287,1.0,3.0,1.0
0xdbac59a3,0xa9bdf738,29,0x9E669c0A,0x6B175474,0xb2d60143,0x5041A1C1,2.5e+19,24.96936125,1.5,2023-05-07 13:49:28.328134+00:00,33.26,15,5283.368339220287,1.0,3.0,1.0
0x365c3b2e,0xe8249a10,14,0x9E669c0A,0x6B175474,0xb2d60143,0x9b55D80A,2.5e+19,24.96936125,1.5,2023-05-07 13:49:28.328134+00:00,33.26,15,5283.368339220287,1.0,3.0,1.0
0xd56f22b3,0xe6424ab2,22,0x9E669c0A,0x6B175474,0xdfbecc0b,0x8110d1D0,1e+18,0.99877445,1.0,2023-04-25 22:13:21.473491+00:00,17.83,15,,,,
0x29e39d30,0xa9bdf738,29,0x9E669c0A,0x6B175474,0xdfbecc0b,0x5041A1C1,1e+18,0.99877445,1.0,2023-04-25 22:13:21.473491+00:00,17.83,15,,,,
0xee8a489d,0xdd9b885d,13,0x9E669c0A,0x00000000,0x4b2f6d3a,0x75D923fB,3000000000000000.0,5.74747479,1.0,2023-04-24 20:12:41.581966+00:00,34.61,15,,,,
0x322cc3a0,0xf1f4942d,24,0x9E669c0A,0x00000000,0x4b2f6d3a,0x4f8c531d,3000000000000000.0,5.74747479,1.0,2023-04-24 20:12:41.581966+00:00,34.61,15,,,,
0x3f16b271,0x64a30a4b,19,0x9E669c0A,0x00000000,0x4b2f6d3a,0xA26d6AEB,3000000000000000.0,5.74747479,1.0,2023-04-24 20:12:41.581966+00:00,34.61,15,,,,
0x6c9babe1,0x4cd41869,25,0x9E669c0A,0x00000000,0x4b2f6d3a,0xBEC643BD,3000000000000000.0,5.74747479,1.0,2023-04-24 20:12:41.581966+00:00,34.61,15,,,,
0xae5e45eb,0x8d6f0c7b,3,0x9E669c0A,0x00000000,0x4b2f6d3a,0x808DB7C1,3000000000000000.0,5.74747479,1.0,2023-04-24 20:12:41.581966+00:00,34.61,15,,,,
0xc50f9c2b,0xec026845,16,0x9E669c0A,0x00000000,0xb10dd042,0x45b79C6b,5500000000000000.0,10.69337731,1.0,2023-04-26 10:58:12.308023+00:00,21.58,15,,,,
0xf292f6b4,0xe6424ab2,22,0x9E669c0A,0x00000000,0x33878e07,0x8110d1D0,2200000000000000.0,4.29503514,1.5,2023-04-24 19:55:54.572737+00:00,43.05,15,120.8544589760862,1.0,,
0xb2d5d81a,0xa9bdf738,29,0x9E669c0A,0x00000000,0x33878e07,0x5041A1C1,2200000000000000.0,4.29503514,1.5,2023-04-24 19:55:54.572737+00:00,43.05,15,120.8544589760862,1.0,,
0xf792b232,0x8d6f0c7b,3,0x9E669c0A,0x00000000,0x33878e07,0x808DB7C1,2200000000000000.0,4.29503514,1.5,2023-04-24 19:55:54.572737+00:00,43.05,15,120.8544589760862,1.0,,
0x58adcfbb,0x4cd41869,25,0x9E669c0A,0x00000000,0xf1fd2aa4,0xBEC643BD,5320000000000000.0,9.85910637,1.0,2023-05-07 20:53:16.585185+00:00,15.64,15,,,,
0xac7251c3,0x4cd41869,25,0x9E669c0A,0x00000000,0x8f4ad500,0xBEC643BD,1.2e+16,22.37211263,1.0,2023-04-26 19:22:31.826282+00:00,25.54,15,,,,
0x0ec7ff39,0xe6424ab2,22,0x9E669c0A,0x00000000,0x8f4ad500,0x8110d1D0,1000000000000000.0,1.86434271,1.0,2023-04-26 19:22:31.826282+00:00,25.54,15,,,,
0xc04bccfa,0xa9bdf738,29,0x9E669c0A,0x00000000,0x1626255e,0x5041A1C1,7000000000000000.0,13.18763285,1.0,2023-04-27 08:25:52.949301+00:00,17.52,15,,,,
0xb0f77055,0x97589cd1,7,0x9E669c0A,0x00000000,0xf632ce27,0x0035cC37,1e+16,19.12383742,1.0,2023-04-27 19:52:46.782213+00:00,39.39,15,,,,
0xbd530705,0xe6424ab2,22,0x9E669c0A,0x00000000,0xf632ce27,0x8110d1D0,5000000000000000.0,9.56191871,1.0,2023-04-27 19:52:46.782213+00:00,39.39,15,,,,
0x7f27fb26,0xa9bdf738,29,0x9E669c0A,0x00000000,0xf632ce27,0x5041A1C1,5000000000000000.0,9.56191871,1.0,2023-04-27 19:52:46.782213+00:00,39.39,15,,,,
0x89e8a546,0x10b3f00e,28,0x9E669c0A,0x00000000,0x01d3a04a,0x69e001B7,5000000000000000.0,9.56404907,1.0,2023-04-28 07:47:32.404682+00:00,22.43,15,,,,
0x55fed50c,0x5351510d,2,0x9E669c0A,0x00000000,0x7ab13936,0x9bcF35BD,1700000000000000.0,3.25177668,1.0,2023-04-28 08:14:26.884943+00:00,22.97,15,,,,
0xe8d6d0b1,0x23387567,9,0x9E669c0A,0x00000000,0x7ab13936,0xbbD107D7,1700000000000000.0,3.25177668,1.0,2023-04-28 08:14:26.884943+00:00,22.97,15,,,,
0x1646a78b,0x97589cd1,7,0x9E669c0A,0x00000000,0x7ab13936,0x0035cC37,1700000000000000.0,3.25177668,1.0,2023-04-28 08:14:26.884943+00:00,22.97,15,,,,
0xcb9e856f,0x97589cd1,7,0x9E669c0A,0x00000000,0x8b5d7121,0x0035cC37,1500000000000000.0,2.86921472,1.0,2023-04-28 08:18:18.959214+00:00,24.32,15,,,,
0x7e599ae2,0xa9bdf738,29,0x9E669c0A,0x00000000,0x8b5d7121,0x5041A1C1,1500000000000000.0,2.86921472,1.0,2023-04-28 08:18:18.959214+00:00,24.32,15,,,,
0x98be0cb1,0x10b3f00e,28,0x9E669c0A,0x00000000,0x8b5d7121,0x69e001B7,1500000000000000.0,2.86921472,1.0,2023-04-28 08:18:18.959214+00:00,24.32,15,,,,
0x61b5745a,0xdd9b885d,13,0x9E669c0A,0x00000000,0x8b5d7121,0x75D923fB,1500000000000000.0,2.86921472,1.0,2023-04-28 08:18:18.959214+00:00,24.32,15,,,,
0xb4c5bb96,0x4cd41869,25,0x9E669c0A,0x00000000,0xb9d795b5,0xBEC643BD,1000000000000000.0,1.90690299,1.0,2023-05-04 13:15:15.444808+00:00,18.14,15,,,,
0x9495ce94,0x4cd41869,25,0x9E669c0A,0x00000000,0x8bf1c501,0xBEC643BD,1000000000000000.0,1.90690299,1.0,2023-04-28 09:31:38.391287+00:00,15.32,15,,,,
0xa38cf7b0,0x4cd41869,25,0x9E669c0A,0x00000000,0xd1ddd31c,0xBEC643BD,2500000000000000.0,4.76725749,1.0,2023-04-28 09:12:59.081446+00:00,15.22,15,,,,
0xd347c2fb,0xf1f4942d,24,0x9E669c0A,0x00000000,0x84ad6912,0x4f8c531d,2000000000000000.0,3.80607954,1.0,2023-04-28 10:00:46.608206+00:00,24.32,15,,,,
0xa5a7e9f8,0xe8249a10,14,0x9E669c0A,0x00000000,0x84ad6912,0x9b55D80A,2000000000000000.0,3.80607954,1.0,2023-04-28 10:00:46.608206+00:00,24.32,15,,,,
0xcf902f0c,0xa9bdf738,29,0x9E669c0A,0x00000000,0x84ad6912,0x5041A1C1,2000000000000000.0,3.80607954,1.0,2023-04-28 10:00:46.608206+00:00,24.32,15,,,,
0x4cf02d6d,0xf1f4942d,24,0x9E669c0A,0x00000000,0x84ad6912,0x4f8c531d,2000000000000000.0,3.80607954,1.0,2023-04-28 10:00:46.608206+00:00,24.32,15,,,,
0xfa44e4b3,0xe8249a10,14,0x9E669c0A,0x00000000,0x84ad6912,0x9b55D80A,2000000000000000.0,3.80607954,1.0,2023-04-28 10:00:46.608206+00:00,24.32,15,,,,
0x25b6210d,0xa9bdf738,29,0x9E669c0A,0x00000000,0x84ad6912,0x5041A1C1,2000000000000000.0,3.80607954,1.0,2023-04-28 10:00:46.608206+00:00,24.32,15,,,,
0x43ee9adf,0x8d6f0c7b,3,0x9E669c0A,0x00000000,0xda13146a,0x808DB7C1,2100000000000000.0,3.99638352,1.0,2023-04-28 01:53:00.282238+00:00,22.54,15,,,,
0xee0bcc6e,0xa9bdf738,29,0x9E669c0A,0x00000000,0xda13146a,0x5041A1C1,2100000000000000.0,3.99638352,1.0,2023-04-28 01:53:00.282238+00:00,22.54,15,,,,
0xaa28310c,0x97589cd1,7,0x9E669c0A,0x00000000,0xda13146a,0x0035cC37,2100000000000000.0,3.99638352,1.0,2023-04-28 01:53:00.282238+00:00,22.54,15,,,,
0x13164c0b,0xe6424ab2,22,0x9E669c0A,0x00000000,0xef22a550,0x8110d1D0,5000000000000000.0,9.45525399,1.0,2023-05-08 13:22:18.121530+00:00,16.16,15,,,,
0xb71438cb,0xec026845,16,0x9E669c0A,0x00000000,0xef22a550,0x45b79C6b,5000000000000000.0,9.45525399,1.0,2023-05-08 13:22:18.121530+00:00,16.16,15,,,,
0x8cfced82,0x5351510d,2,0x9E669c0A,0x00000000,0xef22a550,0x9bcF35BD,5000000000000000.0,9.45525399,1.0,2023-05-08 13:22:18.121530+00:00,16.16,15,,,,
0x140f920d,0xe6424ab2,22,0x9E669c0A,0x00000000,0xde2be7c9,0x8110d1D0,1e+16,18.92474287,1.5,2023-04-28 17:36:02.403380+00:00,15.43,15,50.48043725292471,1.0,,
0x02f23ce6,0x8d6f0c7b,3,0x9E669c0A,0x00000000,0xde2be7c9,0x808DB7C1,1e+16,18.92474287,1.5,2023-04-28 17:36:02.403380+00:00,15.43,15,50.48043725292471,1.0,,
0x6587a844,0x72b0d6a6,17,0x9E669c0A,0x00000000,0xde2be7c9,0x7e1F8358,1e+16,18.92474287,1.5,2023-04-28 17:36:02.403380+00:00,15.43,15,50.48043725292471,1.0,,
0x8c75f2be,0xf1f4942d,24,0x9E669c0A,0x00000000,0xde2be7c9,0x4f8c531d,1e+16,18.92474287,1.5,2023-04-28 17:36:02.403380+00:00,15.43,15,50.48043725292471,1.0,,
0xd0c532c8,0xec026845,16,0x9E669c0A,0x00000000,0x7ee9033a,0x45b79C6b,2e+16,38.11634967,1.5,2023-04-29 20:07:34.998885+00:00,15.74,15,,,5.0,1.0
0x1d684040,0x4cd41869,25,0x9E669c0A,0x00000000,0xc9b390c1,0xBEC643BD,1000000000000000.0,1.9047135,1.0,2023-04-30 06:25:38.488742+00:00,16.16,15,,,,
0x74c047af,0x23387567,9,0x9E669c0A,0x00000000,0xb08f0ca7,0xbbD107D7,2e+17,379.20369,1.5,2023-05-01 20:55:51.964215+00:00,36.72,15,4483.885742428803,1.0,,
0xe3967215,0x64a30a4b,19,0x9E669c0A,0x00000000,0xb08f0ca7,0xA26d6AEB,1e+17,189.601845,1.5,2023-05-01 20:55:51.964215+00:00,36.72,15,4483.885742428803,1.0,,
0xcd61ec0c,0xe6424ab2,22,0x9E669c0A,0x00000000,0xb08f0ca7,0x8110d1D0,1e+17,189.601845,1.5,2023-05-01 20:55:51.964215+00:00,36.72,15,4483.885742428803,1.0,,
0xd8bd2eeb,0x8d6f0c7b,3,0x9E669c0A,0x00000000,0xb08f0ca7,0x808DB7C1,2500000000000000.0,4.74004612,1.5,2023-05-01 20:55:51.964215+00:00,36.72,15,4483.885742428803,1.0,,
0x39c10b59,0xa9bdf738,29,0x9E669c0A,0x00000000,0xb08f0ca7,0x5041A1C1,2500000000000000.0,4.74004612,1.5,2023-05-01 20:55:51.964215+00:00,36.72,15,4483.885742428803,1.0,,
0xc1b5db26,0xe8249a10,14,0x9E669c0A,0x00000000,0xb08f0ca7,0x9b55D80A,2500000000000000.0,4.74004612,1.5,2023-05-01 20:55:51.964215+00:00,36.72,15,4483.885742428803,1.0,,
